Date,Day,Time ,ULG95,DK,ULTSU,ULTDK,Total
01.11.2016,wtorek,18:11,4000,29705,0,0,33705
02.11.2016,środa,,0,0,0,0,0
03.11.2016,czwartek,05:45,3000,30900,0,0,33900
04.11.2016,piątek,06:59,4000,30006,0,0,34006
04.11.2016,piątek,22:52,4000,30003,0,0,34003
05.11.2016,sobota,,0,0,0,0,0
06.11.2016,niedziela,09:20,11000,16003,3001,4001,34005
07.11.2016,poniedziałek,15:50,0,33601,0,0,33601
08.11.2016,wtorek,17:48,3001,30904,0,0,33905
09.11.2016,środa,17:46,7000,26002,0,0,33002
10.11.2016,czwartek,07:38,0,14203,0,7001,21204
10.11.2016,czwartek,23:16,11002,19000,4002,0,34004
11.11.2016,piątek,,0,0,0,0,0
12.11.2016,sobota,06:13,0,12003,0,6001,18004
13.11.2016,niedziela,13:03,0,9001,0,7000,16001
14.11.2016,poniedziałek,12:09,7000,21001,6001,0,34002
15.11.2016,wtorek,11:41,6001,24002,0,4002,34005
16.11.2016,środa,07:12,4000,28001,0,0,32001
17.11.2016,czwartek,06:30,7800,25001,0,0,32801
17.11.2016,czwartek,23:41,0,25002,3000,4001,32003
18.11.2016,piątek,19:59,0,17003,0,0,17003
19.11.2016,sobota,17:51,9000,21000,0,4584,34584
20.11.2016,niedziela,,0,0,0,0,0
21.11.2016,poniedziałek,10:30,3000,18001,0,0,21001
22.11.2016,wtorek,13:36,0,17003,0,0,17003
23.11.2016,środa,01:53,9000,25001,0,0,34001
24.11.2016,czwartek,06:12,3001,30903,0,0,33904
25.11.2016,piątek,06:48,2999,30801,0,0,33800
26.11.2016,sobota,10:51,4000,28505,0,0,32505
27.11.2016,niedziela,22:06,9001,15701,0,9502,34204
28.11.2016,poniedziałek,,0,0,0,0,0
29.11.2016,wtorek,06:31,6000,22001,6000,0,34001
29.11.2016,wtorek,23:37,0,23004,0,9000,32004
30.11.2016,środa,,0,0,0,0,0
01.12.2016,czwartek,06:24,6001,28004,0,0,34005
01.12.2016,czwartek,23:13,5001,25001,0,4001,34003
02.12.2016,piątek,18:42,3000,27002,0,3502,33504
03.12.2016,sobota,19:14,0,18001,0,0,18001
04.12.2016,niedziela,,0,0,0,0,0
05.12.2016,poniedziałek,11:49,7001,24001,0,3384,34386
06.12.2016,wtorek,11:58,4000,27002,2999,0,34001
07.12.2016,środa,10:22,7000,18001,3002,5000,33003
08.12.2016,czwartek,10:03,4000,28002,0,0,32002
09.12.2016,piątek,11:47,0,30002,4002,0,34004
10.12.2016,sobota,05:56,0,16001,0,0,16001
11.12.2016,niedziela,22:18,7001,27004,0,0,34005
12.12.2016,poniedziałek,,0,0,0,0,0
13.12.2016,wtorek,10:46,7001,27002,0,0,34003
14.12.2016,środa,12:41,7001,24005,0,3000,34006
14.12.2016,środa,20:42,0,16602,0,0,16602
15.12.2016,czwartek,15:03,9000,18500,0,7001,34501
16.12.2016,piątek,11:38,0,21004,6000,7001,34005
17.12.2016,sobota,11:59,4000,29501,0,0,33501
18.12.2016,niedziela,22:48,9001,17502,0,6002,32505
19.12.2016,poniedziałek,,0,0,0,0,0
20.12.2016,wtorek,11:01,3000,29305,0,0,32305
21.12.2016,środa,16:07,4115,30001,0,0,34116
22.12.2016,czwartek,18:29,6001,23004,0,5000,34005
23.12.2016,piątek,22:30,7001,27003,0,0,34004
24.12.2016,sobota,,0,0,0,0,0
25.12.2016,niedziela,,0,0,0,0,0
26.12.2016,poniedziałek,,0,0,0,0,0
27.12.2016,wtorek,10:41,10700,9001,7001,6000,32702
28.12.2016,środa,10:05,0,20003,0,0,20003
28.12.2016,środa,20:05,4529,10000,0,5000,19529
29.12.2016,czwartek,,0,0,0,0,0
30.12.2016,piątek,17:16,9000,22502,0,3000,34502
31.12.2016,sobota,,0,0,0,0,0
01.01.2017,niedziela,,0,0,0,0,0
02.01.2017,poniedziałek,06:30,6000,20001,3001,4000,33002
03.01.2017,wtorek,22:46,6001,28003,0,0,34004
04.01.2017,środa,,0,0,0,0,0
05.01.2017,czwartek,11:41,7000,22366,0,5001,34367
06.01.2017,piątek,06:58,0,11999,0,0,11999
07.01.2017,sobota,22:00,9000,15004,0,5501,29505
08.01.2017,niedziela,,0,0,0,0,0
09.01.2017,poniedziałek,22:07,0,26680,0,7000,33680
10.01.2017,wtorek,,0,0,0,0,0
11.01.2017,środa,06:52,3500,0,0,11000,14500
